Genre,user_id,item_id,Season
Rap,20903,36,Christmas
Rap,89482,44,Christmas
Classical,37602,2883,Summer
Hard rock,87379,2287,other
Rap,34812,2268,Summer
Rap,60592,3321,other
Classical,56587,326,Summer
Rap,103830,1909,Summer
Hard rock,15633,3267,Summer
Hard rock,12521,20,Christmas
Rap,92890,1,Summer
Rap,97341,1730,other
Rap,55677,4497,Daily
Rap,87929,1606,Christmas
Rap,81968,4950,Daily
Classical,87962,3585,Summer
Rap,23090,4913,Daily
Rap,42664,2281,other
Rap,62590,1475,Christmas
Rap,32331,286,other
Hard rock,8281,4209,get-together
Hard rock,94689,5589,office
Rap,26662,5099,Daily
Rap,24495,123,get-together
Rap,80266,1384,Christmas
Hard rock,51900,238,Summer
Rap,45558,3467,Summer
Hard rock,80782,2155,get-together
Rap,31533,3627,other
Rap,59713,3660,Summer
Rap,34134,5655,Daily
Rap,71711,65,Christmas
Rap,89672,100,Summer
Classical,19192,9,get-together
Rap,82630,10,Summer
Rap,76049,26,get-together
Rap,41959,4624,Summer
Hard rock,93347,3170,Daily
Rap,37221,1666,other
Rap,60461,1327,other
Rap,73441,4825,get-together
Rap,91650,3146,Summer
Rap,14975,2847,Summer
Rap,36847,1824,Summer
Rap,79882,4248,Daily
Classical,6831,2954,Christmas
Rap,78532,4312,other
Rap,6110,617,Summer
Rap,13174,2261,Summer
Classical,82950,2095,get-together
Classical,21545,3079,Summer
Hard rock,12323,890,Christmas
Hard rock,99767,1470,Christmas
Rap,54734,31,Christmas
Rap,54694,3461,Summer
Rap,100493,1,Christmas
Rap,62197,36,Summer
Rap,65173,3645,Christmas
Hard rock,72135,40,get-together
Rap,1936,87,Christmas
Rap,45850,48,Christmas
Classical,33404,1402,Summer
Hard rock,72766,5144,get-together
Rap,76247,2023,get-together
Rap,68064,63,get-together
Classical,3494,4641,get-together
Rap,67370,2891,Summer
Hard rock,23905,74,Summer
Rap,59543,3039,other
Hard rock,82465,15,Christmas
Rap,68196,4203,Daily
Rap,69000,288,other
Hard rock,29493,88,Summer
Rap,17450,281,Summer
Classical,37561,169,Summer
Rap,41124,98,get-together
Rap,21641,3327,Summer
Rap,30594,1502,other
Rap,83197,3684,office
Rap,5216,100,Summer
Hard rock,105441,1,Summer
Classical,94026,2148,Daily
Rap,72640,102,get-together
Rap,29170,774,Summer
Classical,72591,97,Summer
Rap,66126,721,Christmas
Rap,57151,3622,office
Rap,2267,907,Summer
Rap,87631,3623,other
Rap,33189,1642,Christmas
Rap,52924,7,Christmas
Classical,13773,36,Christmas
Rap,97095,3252,Summer
Rap,54346,3517,Christmas
Hard rock,9076,723,Summer
Rap,645,5560,other
Hard rock,53243,4368,holiday
Hard rock,28844,705,other
Rap,85035,2915,Christmas
Rap,16799,2809,get-together
Rap,14988,2920,other
Classical,23155,3042,office
Rap,64301,9,get-together
Rap,43805,15,get-together
Rap,30082,5411,other
Rap,100482,5563,Daily
Classical,23161,2345,other
Rap,9284,1730,Christmas
Rap,39764,1934,Daily
Rap,18591,2,other
Rap,16954,85,Christmas
Rap,73137,3327,Summer
Rap,82273,3389,get-together
Rap,13958,4960,get-together
Rap,7065,254,Christmas
Rap,7004,29,Summer
Rap,21671,14,get-together
Rap,88715,5200,other
Rap,52604,2,holiday
Rap,47870,202,office
Hard rock,2679,2741,Summer
Rap,19782,40,holiday
Rap,17245,158,get-together
Rap,7961,193,get-together
Rap,16700,3625,Summer
Rap,37135,1327,other
Rap,28492,2036,get-together
Rap,71879,4578,other
Rap,33609,82,Christmas
Rap,60166,1391,get-together
Rap,7036,25,Summer
Classical,10863,4525,office
Hard rock,98825,1926,office
Rap,71904,1769,Summer
Rap,21250,2438,office
Rap,80346,152,Summer
Hard rock,66591,1417,get-together
Hard rock,13724,20,Christmas
Rap,90661,497,Summer
Rap,47347,3261,Christmas
Classical,80573,1801,get-together
Rap,105089,858,Summer
Rap,7568,16,Christmas
Classical,85218,52,Summer
Rap,95441,2417,Daily
Rap,38367,2993,Daily
Rap,57960,2427,get-together
Rap,103804,1386,get-together
Classical,70115,2745,get-together
Hard rock,23012,140,get-together
Rap,7449,153,Summer
Rap,64669,2312,Christmas
Rap,25243,100,Summer
Rap,11927,84,Summer
Rap,100097,3533,get-together
Hard rock,32793,47,Summer
Rap,100454,3620,Summer
Hard rock,17985,3315,Summer
Classical,79767,965,other
Rap,68840,2496,Summer
Rap,77314,288,office
Classical,97479,3392,get-together
Rap,24578,3808,office
Rap,105188,1030,Summer
Rap,19759,66,other
Rap,29718,2177,Summer
Rap,1444,133,Christmas
Rap,48474,1503,get-together
Rap,21828,2496,get-together
Rap,32388,2579,Christmas
Rap,15660,2007,office
Rap,96770,28,Christmas
Rap,50637,115,get-together
Rap,25196,92,Christmas
Rap,62997,103,other
Rap,70072,97,Summer
Rap,100861,462,Christmas
Rap,29959,8,Christmas
Rap,4271,3359,Christmas
Rap,23370,4441,other
Rap,93517,2954,Christmas
Rap,96186,1,Christmas
Hard rock,7327,29,Summer
Rap,7886,7,get-together
Hard rock,79865,3280,office
Rap,102123,3113,Summer
Rap,74109,3996,other
Rap,4848,10,Summer
Rap,5955,983,get-together
Rap,61578,5207,Summer
Classical,44918,3610,Daily
Rap,19826,3584,get-together
Rap,44154,1236,other
Rap,87372,3982,office
Rap,37827,891,get-together
Rap,23788,5708,office
Rap,5223,8,Christmas
Hard rock,7427,3965,Daily
Classical,44691,3120,Summer
Rap,92734,154,office
Rap,21854,2419,other
Rap,90900,2543,get-together
Rap,66307,2686,Summer
Rap,8819,3619,Summer
Hard rock,31653,5124,Daily
Classical,93451,3345,Summer
Rap,88526,2906,other
Rap,94602,3248,get-together
Classical,44611,29,get-together
Hard rock,23275,2358,Daily
Hard rock,6062,248,get-together
Rap,11114,595,other
Hard rock,102868,3451,other
Rap,93886,1670,Summer
Rap,56307,5525,other
Classical,50049,2921,Summer
Hard rock,35688,329,get-together
Rap,2683,2204,office
Classical,16501,150,Christmas
Rap,5335,115,get-together
Rap,27959,4815,get-together
Hard rock,92972,2548,Summer
Classical,36447,3605,Summer
Rap,57584,73,other
Rap,11756,5093,get-together
Rap,102261,3247,get-together
Classical,87200,305,Christmas
Hard rock,24914,1160,Daily
Hard rock,11733,80,Summer
Rap,9602,879,other
Rap,88107,1694,office
Rap,63691,22,Christmas
Classical,55876,4851,office
Rap,80957,35,Christmas
Rap,104722,5,Christmas
Classical,24484,315,Daily
Rap,58392,2849,Christmas
Rap,38086,3252,Christmas
Rap,48837,2463,get-together
Rap,7915,7,get-together
Hard rock,13379,5288,Daily
Rap,84721,5826,Daily
Rap,41283,650,Christmas
Rap,1561,2717,get-together
Rap,93012,43,Summer
Rap,6948,5446,Christmas
Rap,16152,4054,office
Rap,72910,1917,Christmas
Rap,19990,1972,Summer
Rap,32349,1987,get-together
Rap,80269,30,Summer
Rap,77565,1243,Summer
Rap,83917,305,Christmas
Rap,103169,1786,Summer
Rap,86255,31,Christmas
Rap,84128,4160,Daily
Rap,36750,7,get-together
Rap,7815,1730,Christmas
Rap,3714,4562,other
Rap,78611,1067,holiday
Hard rock,38678,3491,Summer
Rap,59287,7,Christmas
Rap,84785,3597,get-together
Rap,13003,624,office
Rap,44233,721,Christmas
Rap,1686,50,get-together
Rap,88791,2152,Summer
Rap,67579,450,get-together
Rap,64971,837,Christmas
Rap,41122,693,office
Rap,70136,253,Summer
Rap,12187,2044,Christmas
Rap,81447,39,Christmas
Hard rock,6032,3033,Summer
Hard rock,48440,48,Christmas
Rap,97532,3670,Christmas
Rap,17182,2852,Summer
Rap,80583,7,other
Rap,32638,856,Summer
Hard rock,91545,2821,Christmas
Hard rock,100022,3369,office
Rap,43972,3600,get-together
Rap,96352,99,Summer
Rap,828,993,office
Rap,684,207,get-together
Rap,10944,3046,office
Classical,72766,2773,office
Rap,21159,1769,Summer
Hard rock,47079,3260,other
Classical,50466,3619,Christmas
Rap,100055,47,Christmas
Rap,36318,1269,Christmas
Rap,28517,16,Christmas
Hard rock,26548,1221,other
Rap,32074,18,Christmas
Rap,69653,5560,Summer
Classical,77539,1243,Summer
Rap,82879,3071,Daily
Rap,17655,41,get-together
Classical,76470,3645,Christmas
Rap,80399,2313,get-together
Rap,76523,4624,get-together
Rap,60515,1184,other
Rap,49299,223,Summer
Rap,69294,3901,office
Rap,2056,153,other
Rap,93511,3182,Christmas
Rap,97703,37,Christmas
Classical,81124,53,Summer
Classical,12061,2557,office
Rap,19418,419,Christmas
Classical,13439,2607,Summer
Rap,22441,39,Christmas
Rap,27105,882,Summer
Classical,98435,1361,get-together
Rap,92663,4681,Daily
Classical,13791,5234,office
Rap,43222,4349,get-together
Hard rock,71755,936,Daily
Hard rock,105475,4623,office
Hard rock,4663,104,get-together
Rap,48011,1913,get-together
Rap,27541,3605,Summer
Rap,35151,4333,office
Hard rock,19060,363,other
Rap,32427,1016,get-together
Rap,102701,1954,Christmas
Rap,44204,14,get-together
Rap,61536,1346,office
Rap,53647,294,get-together
Hard rock,73169,3008,get-together
Rap,3438,37,Christmas
Rap,53948,47,Summer
Rap,60849,3839,Daily
Hard rock,33468,554,other
Rap,105180,34,Summer
Rap,69997,2620,get-together
Rap,88967,5374,Daily
Classical,68042,632,Summer
Rap,14559,2352,get-together
Rap,20407,63,Summer
Rap,36070,4060,office
Rap,3918,1164,other
Rap,3153,5056,office
Rap,80727,1634,office
Rap,73953,5792,get-together
Rap,85522,2351,Summer
Rap,48209,790,Summer
Hard rock,13689,157,get-together
Classical,12759,3355,Summer
Rap,6060,58,Christmas
Rap,95702,5746,get-together
Rap,16095,120,Summer
Rap,83905,2491,Summer
Rap,76219,74,Summer
Rap,88722,3841,holiday
Hard rock,32691,4,get-together
Rap,59105,649,Summer
Rap,59033,2623,get-together
Rap,2203,1525,Summer
Rap,45136,51,Summer
Rap,21466,683,Daily
Rap,51183,15,Summer
Rap,7794,5082,office
Rap,49885,29,Christmas
Rap,60953,2955,Summer
Rap,63388,400,Christmas
Rap,35804,649,get-together
Hard rock,103218,7,get-together
Rap,11012,1447,other
Hard rock,58829,4078,get-together
Rap,82743,1167,Daily
Classical,72766,3074,Summer
Rap,53397,229,Summer
Rap,5254,2425,other
Rap,73058,3475,Summer
Rap,62060,20,Christmas
Rap,41127,416,Christmas
Rap,74348,3945,Daily
Rap,10273,5832,get-together
Rap,73249,5058,office
Rap,86582,3738,get-together
Hard rock,51542,4426,Daily
Classical,101078,2617,Daily
Rap,68357,3452,office
Rap,25400,3669,get-together
Hard rock,100334,4421,Daily
Hard rock,47770,4440,Daily
Rap,81965,87,Christmas
Rap,53256,1695,Summer
Rap,60728,2669,Daily
Rap,98097,119,Summer
Rap,56482,1538,Summer
Rap,60002,3698,get-together
Classical,29109,4088,office
Hard rock,97271,5512,holiday
Rap,53089,1563,Christmas
Rap,42710,3126,Christmas
Rap,67495,100,Christmas
Classical,1449,3833,Christmas
Rap,7144,3952,office
Classical,7223,3421,get-together
Rap,88426,821,get-together
Rap,45002,3411,Summer
Rap,30943,1847,other
Rap,89129,3097,Summer
Rap,87940,2134,office
Hard rock,30869,2059,Daily
Rap,94011,100,Summer
Rap,1690,114,other
Rap,49216,3636,office
Rap,24753,1298,get-together
Rap,40741,191,Christmas
Rap,58707,1334,Summer
Rap,34943,56,Summer
Rap,88366,22,Christmas
Rap,5344,2518,Christmas
Hard rock,72985,20,Christmas
Rap,40212,7,Christmas
Rap,28292,5607,office
Classical,63435,3970,other
Rap,18559,1614,get-together
Rap,101599,3997,get-together
Rap,76801,3624,Christmas
Rap,49083,0,Christmas
Hard rock,6107,1418,Summer
Rap,31396,1383,office
Rap,21726,3248,other
Hard rock,88480,3211,Summer
Rap,15809,728,Christmas
Rap,61820,3841,get-together
Rap,24715,10,Christmas
Rap,64965,5299,holiday
Rap,62549,1768,other
Hard rock,84295,7,Summer
Rap,75146,3095,get-together
Hard rock,27553,3944,Daily
Rap,8653,1313,Summer
Rap,102161,4681,Daily
Rap,21072,1874,Christmas
Rap,57583,3237,office
Rap,10896,8,Christmas
Rap,102785,1306,Christmas
Rap,45195,59,Christmas
Rap,24403,3698,get-together
Rap,73675,1385,Summer
Hard rock,334,1750,other
Hard rock,18081,2452,Christmas
Classical,67702,5457,Daily
Hard rock,72587,3196,Christmas
Rap,51728,3451,get-together
Hard rock,90704,16,Christmas
Classical,2622,3677,Summer
Rap,93745,245,get-together
Rap,25185,130,Summer
Rap,28276,1972,Summer
Rap,49521,2520,other
Rap,67950,3400,office
Rap,76756,3363,Summer
Rap,75332,3210,other
Rap,73596,5695,Christmas
Rap,61640,1653,Daily
Rap,31417,4274,office
Hard rock,91899,3123,Daily
Rap,25583,23,get-together
Hard rock,36393,342,Summer
Rap,40556,4629,Daily
Classical,86786,3240,Summer
Rap,101284,7,Christmas
Hard rock,92292,1083,other
Rap,14041,100,Summer
Classical,71637,51,Summer
Rap,63642,5225,office
Classical,13240,358,Christmas
Rap,95741,2686,Summer
Rap,51448,39,Christmas
Rap,96874,28,Summer
Rap,10240,4123,Daily
Classical,9547,2284,Christmas
Rap,29216,18,Christmas
Rap,65324,782,other
Rap,1379,4074,get-together
Rap,34711,108,other
Hard rock,11061,1799,office
Rap,101316,4682,get-together
Rap,98525,2035,Summer
Classical,93639,10,Christmas
Rap,7693,2205,other
Rap,54821,838,get-together
Rap,95519,5326,Daily
Rap,29250,2781,Christmas
Rap,43040,2193,Daily
Rap,84482,28,holiday
Rap,33104,3813,get-together
Rap,76105,4926,Daily
Rap,44319,2279,Summer
Rap,66818,1563,Christmas
Rap,23631,1638,Summer
Rap,71860,322,get-together
Rap,86958,31,Christmas
Rap,37755,2943,other
Rap,13151,682,Christmas
Rap,22662,2434,Daily
Rap,26053,91,Christmas
Rap,42736,2796,get-together
Classical,26158,3152,get-together
Rap,75729,1799,office
Rap,37691,32,Christmas
Rap,38965,1762,Summer
Classical,79765,2252,Summer
Rap,96155,56,Christmas
Rap,604,52,Summer
Rap,47013,45,Christmas
Rap,34239,88,other
Hard rock,33451,39,Summer
Rap,21054,229,Summer
Classical,6246,2340,Summer
Rap,28377,5298,office
Rap,9688,897,Christmas
Classical,25974,65,Summer
Classical,21593,35,Summer
Rap,23366,5771,Daily
Rap,94254,10,Christmas
Rap,15629,1264,office
Rap,18094,1972,get-together
Rap,84533,2154,Christmas
Rap,5474,5018,Daily
Rap,2415,11,get-together
Rap,103020,7,other
Rap,18217,3256,Summer
Rap,14258,2412,Summer
Rap,26080,3183,Summer
Rap,81079,1071,Christmas
Rap,25645,1584,Summer
Rap,54760,5823,office
Rap,11347,2155,get-together
Rap,91512,3629,get-together
Rap,31622,1772,other
Classical,85348,3256,Summer
Rap,9684,1730,Christmas
Rap,52366,41,Summer
Rap,73638,125,get-together
Rap,67089,2815,Summer
Rap,43240,4391,office
Rap,103252,30,Summer
Classical,29315,29,Christmas
Hard rock,9507,38,other
Rap,40794,4746,holiday
Classical,77218,2216,Summer
Classical,58617,3606,get-together
Rap,88035,295,Christmas
Classical,105319,1990,Summer
Rap,31026,1831,Summer
Rap,55346,2894,Christmas
Rap,51100,18,Summer
Classical,92329,2624,get-together
Rap,99921,159,get-together
Rap,82066,19,Summer
Rap,55192,4414,Daily
Rap,57733,2915,office
Rap,38235,3870,Daily
Hard rock,67082,4948,office
Rap,71100,2544,get-together
Rap,1917,2777,Summer
Rap,81131,2823,Summer
Hard rock,32056,3682,holiday
Hard rock,50552,39,Christmas
Rap,41653,1948,Christmas
Hard rock,67233,3443,Daily
Rap,105414,23,holiday
Rap,69812,5464,office
Classical,8247,1697,Summer
Rap,57397,56,Christmas
Rap,39622,39,Christmas
Hard rock,7246,2517,Summer
Rap,8746,1,get-together
Hard rock,62117,523,Summer
Classical,43143,127,Summer
Classical,32342,2474,Christmas
Classical,69369,2855,get-together
Hard rock,54818,1967,Summer
Rap,67904,3183,Summer
Rap,43290,100,other
Classical,72863,2578,Christmas
Rap,3494,1418,Summer
Rap,21873,2718,other
Rap,71944,5655,office
Hard rock,91046,3260,get-together
Classical,99934,3016,holiday
Classical,38494,429,get-together
Rap,99675,5075,get-together
Rap,85349,2914,Summer
Rap,39365,7,get-together
Rap,15201,4003,other
Rap,30022,1807,office
Rap,78484,313,Christmas
Rap,83981,3430,other
Rap,68526,2957,Summer
Hard rock,68574,1627,get-together
Rap,6406,4129,Daily
Classical,37717,1798,other
Rap,25063,5606,Daily
Classical,22959,4815,get-together
Rap,48092,16,Christmas
Rap,39282,574,get-together
Rap,75276,5581,Daily
Classical,20417,1,Summer
Rap,24888,24,Christmas
Hard rock,104815,4208,Daily
Rap,24220,3688,Christmas
Rap,71429,192,Christmas
Rap,21805,306,Summer
Hard rock,81584,92,Summer
Rap,34596,4573,office
Hard rock,93650,20,Summer
Rap,81426,2324,other
Rap,99989,0,Christmas
Rap,46735,2764,Summer
Hard rock,39613,179,holiday
Rap,102565,35,Summer
Rap,103465,2548,Summer
Rap,92439,4243,Summer
Rap,53996,103,Summer
Rap,39209,3772,Summer
Rap,7212,2824,Summer
Rap,54034,5700,office
Rap,36392,724,Daily
Rap,10736,900,Summer
Rap,83688,28,Christmas
Rap,64243,62,Summer
Rap,61252,3411,Christmas
Classical,26171,3392,get-together
Rap,82647,2889,Christmas
Rap,77752,3051,other
Classical,68234,933,Summer
Rap,13243,3327,Christmas
Rap,102571,1774,other
Classical,71492,3210,Summer
Classical,28761,3584,Summer
Rap,16202,3327,Christmas
Rap,68721,2607,other
Hard rock,40389,1396,get-together
Rap,83543,1524,other
Hard rock,70571,291,other
Rap,97724,1807,office
Rap,15665,148,Christmas
Rap,58375,3006,office
Rap,90775,5422,Daily
Classical,34931,3786,office
Rap,61840,249,get-together
Rap,36728,682,Summer
Rap,72663,132,get-together
Rap,18014,4991,other
Rap,8117,2517,get-together
Rap,92398,1865,get-together
Hard rock,13070,20,Christmas
Hard rock,91826,16,Summer
Rap,78188,2366,other
Rap,67547,253,holiday
Classical,24970,3161,office
Rap,96022,891,Summer
Rap,58261,3125,Summer
Rap,53935,1913,get-together
Rap,41963,1816,get-together
Classical,62882,1972,get-together
Rap,40812,3074,Summer
Rap,8525,4518,other
Rap,9845,2753,Summer
Rap,34309,2180,Christmas
Rap,32304,4094,Daily
Rap,89136,4872,Daily
Classical,92379,12,Christmas
Hard rock,94179,24,Christmas
Hard rock,69585,294,Summer
Rap,1141,1,Summer
Rap,48088,3118,Summer
Rap,100565,1261,Summer
Rap,35692,3332,Christmas
Classical,5349,3600,get-together
Rap,81349,5666,Daily
Rap,9864,682,Summer
Rap,80999,1568,Christmas
Hard rock,74307,3453,other
Rap,98207,920,Christmas
Rap,28103,1047,other
Rap,51282,7,Christmas
Hard rock,80485,91,Christmas
Rap,20482,2931,get-together
Classical,67519,3355,Summer
Hard rock,44582,67,Christmas
Hard rock,88189,919,other
Rap,18762,522,office
Classical,26971,13,get-together
Rap,28928,896,office
Rap,83871,1178,other
Rap,2718,141,Summer
Classical,10720,3257,Summer
Rap,59906,3534,other
Classical,56411,53,Summer
Rap,54587,89,Summer
Hard rock,62625,2406,other
Rap,39934,3106,Christmas
Hard rock,30568,1776,Summer
Rap,3366,4910,holiday
Rap,47608,3327,Christmas
Classical,48295,863,office
Classical,96925,2517,Summer
Rap,37947,1268,Summer
Rap,22468,2221,other
Rap,71215,69,Summer
Classical,85092,47,Christmas
Rap,65943,82,Summer
Rap,90242,118,Summer
Rap,36725,3097,Summer
Rap,76523,1948,Summer
Rap,38718,3235,Christmas
Rap,85053,91,Christmas
Hard rock,10430,665,Summer
Rap,94209,2039,get-together
Rap,13228,3184,holiday
Rap,58530,1944,get-together
Rap,98694,731,Summer
Rap,19846,903,get-together
Rap,100078,1541,get-together
Rap,51170,1970,get-together
Classical,81139,3136,office
Rap,88218,1830,Summer
Rap,40565,27,Christmas
Rap,21973,298,Summer
Classical,32198,876,Summer
Rap,44611,27,other
Rap,3538,1723,holiday
Rap,103590,4707,Daily
Rap,44295,2819,Christmas
Rap,57331,2691,other
Rap,88825,1442,get-together
Rap,52042,100,Christmas
Rap,33692,2243,office
Rap,9885,3462,Summer
Classical,105480,2214,Christmas
Hard rock,15320,3,Christmas
Rap,1580,1,other
Rap,65746,649,get-together
Rap,101249,4542,office
Rap,92879,3633,other
Rap,34558,794,Summer
Hard rock,14413,91,Christmas
Rap,60403,17,Christmas
Rap,46315,4287,Daily
Classical,9483,3364,other
Hard rock,34593,1126,office
Rap,63301,45,Christmas
Classical,96935,3992,Daily
Rap,72241,2849,other
Rap,103022,3866,other
Rap,14586,851,Summer
Hard rock,11857,47,Christmas
Hard rock,76839,153,Summer
Rap,16429,27,Summer
Hard rock,25271,360,Daily
Rap,95339,2675,Christmas
Rap,69734,88,other
Classical,23076,2558,Christmas
Rap,48915,2955,Christmas
Hard rock,97010,1824,Summer
Rap,59292,2515,holiday
Rap,104571,2520,Christmas
Classical,43745,1187,other
Rap,81003,3723,Christmas
Rap,46558,470,Daily
Rap,14999,16,Christmas
Rap,79959,3357,Daily
Classical,92521,1293,Daily
Rap,52663,3718,get-together
Rap,38469,4642,office
Rap,98623,98,Summer
Classical,47524,2776,office
Rap,90168,92,Christmas
Rap,45343,2892,Christmas
Rap,96611,87,Christmas
Rap,44262,100,Summer
Rap,83983,1660,get-together
Rap,73847,5701,office
Rap,21894,4905,Daily
Rap,19762,1166,office
Rap,25258,3329,Christmas
Rap,52619,47,Christmas
Rap,8415,2155,holiday
Rap,62653,2273,Summer
Rap,69926,735,other
Classical,105083,3058,get-together
Rap,58993,1610,office
Rap,2116,471,other
Rap,20019,1538,Summer
Rap,96687,120,get-together
Hard rock,39462,4,get-together
Rap,17018,61,Summer
Rap,6297,1899,Christmas
Hard rock,70902,2202,office
Rap,19197,27,other
Rap,85835,48,Christmas
Rap,86472,3841,get-together
Rap,67260,119,Summer
Rap,60854,107,Summer
Rap,72017,56,Christmas
Rap,40736,1,Christmas
Rap,39642,2812,Christmas
Rap,18082,2298,Christmas
Rap,98138,2352,holiday
Rap,24078,5698,Daily
Rap,105135,82,Summer
Rap,91041,23,Summer
Classical,102986,2461,Summer
Rap,84180,4419,office
Rap,81463,1830,Summer
Rap,35867,156,get-together
Rap,27627,1710,get-together
Rap,92047,42,Summer
Rap,89623,402,Summer
Classical,32775,3058,other
Rap,55318,795,Summer
Rap,6552,1311,Daily
Rap,80056,20,Christmas
Hard rock,29942,2259,Summer
